dataset,origin,seed,teacher,student,r_stu,r_legacy,teacher_cal_MASE,ns_cal_MASE,g_soft,action,g_hard
ETTh1,1,42,QELM-NISQ,PatchTST,0.43688640986846844,0.4943988556984787,4.986244171882821,2.17842231498146,0.0,reject,0.0
ETTh1,1,42,QELM-NISQ,N-HiTS,0.44175023824290316,0.4943988556984787,4.9132279105026555,2.1704196000062295,0.0,reject,0.0
ETTh1,1,42,ClassicalELM,DLinear,0.9072668918290692,1.0,2.349485259110807,2.131610188431677,1.0,accept,0.0
ETTh1,1,42,ClassicalELM,PatchTST,0.9271913098981994,1.0,2.349485259110807,2.17842231498146,1.0,accept,0.0
ETTh1,1,42,ClassicalELM,N-HiTS,0.9237851531903855,1.0,2.349485259110807,2.1704196000062295,1.0,accept,0.0
ETTh1,1,123,QELM,DLinear,0.4731182575026818,0.5484548856766875,4.507716371834874,2.1326829151588265,0.0,reject,0.0
ETTh1,1,123,QELM,PatchTST,0.4879660467250418,0.5484548856766875,4.507716371834874,2.199612537722012,0.0,reject,0.0
ETTh1,1,123,QELM,N-HiTS,0.4797091901355457,0.5484548856766875,4.507716371834874,2.1623929700936477,0.0,reject,0.0
ETTh1,1,123,QELM-NISQ,DLinear,0.4701890276550256,0.547126681029175,4.535798986622804,2.1326829151588265,0.0,reject,0.0
ETTh1,1,123,QELM-NISQ,PatchTST,0.4834354902143191,0.547126681029175,4.549960816378765,2.199612537722012,0.0,reject,0.0
ETTh1,1,123,QELM-NISQ,N-HiTS,0.4768693041772974,0.547126681029175,4.534561044612093,2.1623929700936477,0.0,reject,0.0
ETTh1,1,123,ClassicalELM,DLinear,0.8800168202751351,1.0,2.423456990847116,2.1326829151588265,0.9500420506878376,attenuate,0.0
ETTh1,1,123,ClassicalELM,PatchTST,0.9076342373846462,1.0,2.423456990847116,2.199612537722012,1.0,accept,0.0
ETTh1,1,123,ClassicalELM,N-HiTS,0.8922761898645397,1.0,2.423456990847116,2.1623929700936477,0.9806904746613493,attenuate,0.0
ETTh1,1,2024,QELM,DLinear,0.40712241918260633,0.47212674273485905,5.236473827933564,2.1318858928147155,0.0,reject,0.0
ETTh1,1,2024,QELM,PatchTST,0.4141965868844724,0.47212674273485905,5.236473827933564,2.1689295868399503,0.0,reject,0.0
ETTh1,1,2024,QELM,N-HiTS,0.414531569880664,0.47212674273485905,5.236473827933564,2.17068371653231,0.0,reject,0.0
ETTh1,1,2024,QELM-NISQ,DLinear,0.3967496076787221,0.46294401649956923,5.373378704235704,2.1318858928147155,0.0,reject,0.0
ETTh1,1,2024,QELM-NISQ,PatchTST,0.4068578277196951,0.46294401649956923,5.330927510959025,2.1689295868399503,0.0,reject,0.0
ETTh1,1,2024,QELM-NISQ,N-HiTS,0.4070769183738996,0.46294401649956923,5.3323674680531505,2.17068371653231,0.0,reject,0.0
ETTh1,1,2024,ClassicalELM,DLinear,0.8875204420441617,1.0,2.4020696220861084,2.1318858928147155,0.9688011051104042,attenuate,0.0
ETTh1,1,2024,ClassicalELM,PatchTST,0.9029420158755911,1.0,2.4020696220861084,2.1689295868399503,1.0,accept,0.0
ETTh1,1,2024,ClassicalELM,N-HiTS,0.903672273515183,1.0,2.4020696220861084,2.17068371653231,1.0,accept,0.0
ETTh1,2,42,QELM,DLinear,0.11880516925017091,0.14488254139760462,12.887826432450968,1.5311404005741638,0.0,reject,0.0
ETTh1,2,42,QELM,PatchTST,0.14004474004604087,0.14488254139760462,12.887826432450968,1.80487230249109,0.0,reject,0.0
ETTh1,2,42,QELM,N-HiTS,0.13149796373948602,0.14488254139760462,12.887826432450968,1.694722932895227,0.0,reject,0.0
ETTh1,2,42,QELM-NISQ,DLinear,0.11277687548091987,0.1376151071577189,13.576723012096654,1.5311404005741638,0.0,reject,0.0
ETTh1,2,42,QELM-NISQ,PatchTST,0.13268912348831946,0.1376151071577189,13.602262604816827,1.80487230249109,0.0,reject,0.0
ETTh1,2,42,QELM-NISQ,N-HiTS,0.12537830620840043,0.1376151071577189,13.51687532034692,1.694722932895227,0.0,reject,0.0
ETTh1,2,42,ClassicalELM,DLinear,0.6224659053423279,0.7590954083154314,2.459798018547066,1.5311404005741638,0.3061647633558198,attenuate,0.0
ETTh1,2,42,ClassicalELM,PatchTST,0.7337481731760959,0.7590954083154314,2.459798018547066,1.80487230249109,0.5843704329402396,attenuate,0.0
ETTh1,2,42,ClassicalELM,N-HiTS,0.6889683299672925,0.7590954083154314,2.459798018547066,1.694722932895227,0.4724208249182313,attenuate,0.0
ETTh1,2,123,QELM,DLinear,0.11287874288209475,0.13801255136178908,13.529355723521514,1.527176666075782,0.0,reject,0.0
ETTh1,2,123,QELM,PatchTST,0.13900069626528488,0.13801255136178908,13.529355723521514,1.8805898655902076,0.0,reject,0.0
ETTh1,2,123,QELM,N-HiTS,0.11889097876025356,0.13801255136178908,13.529355723521514,1.6085183439651114,0.0,reject,0.0
ETTh1,2,123,QELM-NISQ,DLinear,0.11501843694020487,0.14088982748682838,13.277668404324794,1.527176666075782,0.0,reject,0.0
ETTh1,2,123,QELM-NISQ,PatchTST,0.14176279228575814,0.14088982748682838,13.265750732388309,1.8805898655902076,0.0,reject,0.0
ETTh1,2,123,QELM-NISQ,N-HiTS,0.12148544428319542,0.14088982748682838,13.240420310893255,1.6085183439651114,0.0,reject,0.0
ETTh1,2,123,ClassicalELM,DLinear,0.5374302907091194,0.6570957571225186,2.8416274491352707,1.527176666075782,0.09357572677279852,attenuate,0.0
