dataset,config,seed,MASE,cal_MASE
Energy,F+S+St+D,2024,1.8808071617951383,1.6493874352492384
Energy,F+S+St+D+Obs,2024,1.890156388229899,1.6627504114085867
Energy,Complete,2024,2.928576463126172,2.4486980004491747
ExchangeRate,F,42,16.270570681861113,33.394178592563016
ExchangeRate,F+S,42,16.25063692538222,33.32963460599215
ExchangeRate,F+S+St,42,16.25063692538222,33.32963460599215
ExchangeRate,F+S+St+D,42,16.23088651182131,33.353611400992314
ExchangeRate,F+S+St+D+Obs,42,16.183860221641886,33.271059706576295
ExchangeRate,Complete,42,20.170819360794486,39.78642284171055
ExchangeRate,F,123,17.8147837366518,36.7340202406568
ExchangeRate,F+S,123,17.758658805887897,36.62321442645262
ExchangeRate,F+S+St,123,17.758658805887897,36.62321442645262
ExchangeRate,F+S+St+D,123,18.779015111770956,38.228738483498624
ExchangeRate,F+S+St+D+Obs,123,18.89971988021626,38.417549427064905
ExchangeRate,Complete,123,25.506010884416302,48.20177026719541
ExchangeRate,F,2024,17.8258137762515,36.09988859112697
ExchangeRate,F+S,2024,17.798627508697397,36.02222226458296
ExchangeRate,F+S+St,2024,17.798627508697397,36.02222226458296
ExchangeRate,F+S+St+D,2024,17.968371932051674,36.31265116130983
ExchangeRate,F+S+St+D+Obs,2024,18.095483028135195,36.55928362671317
ExchangeRate,Complete,2024,21.382494350406045,41.0508417246808
Jena,F,42,8.517956155689891,7.854685298086952
Jena,F+S,42,8.464692288033849,7.845202262479222
Jena,F+S+St,42,8.464692288033849,7.845202262479222
Jena,F+S+St+D,42,9.03368174139461,8.180015798200268
Jena,F+S+St+D+Obs,42,9.7018648706441,8.269974183980816
Jena,Complete,42,15.018943044220817,12.931455905856238
Jena,F,123,8.53508995366193,7.889029003500509
Jena,F+S,123,8.579661759663361,7.8850765711208854
Jena,F+S+St,123,8.579661759663361,7.8850765711208854
Jena,F+S+St+D,123,9.046416744775916,8.15943349281995
Jena,F+S+St+D+Obs,123,9.053097199004078,8.131077141483281
Jena,Complete,123,14.64862386654181,13.974399303856371
Jena,F,2024,8.72990951740778,7.923605706088066
Jena,F+S,2024,8.718607469377947,7.932981304480344
Jena,F+S+St,2024,8.718607469377947,7.932981304480344
Jena,F+S+St+D,2024,9.056713542926804,8.279188128956866
Jena,F+S+St+D+Obs,2024,9.011572104593006,8.197059054371598
Jena,Complete,2024,14.365054010490725,13.37452699893627
AAPL,F,42,0.6018794990680467,0.6249257467569257
AAPL,F+S,42,0.6018759573155219,0.6249207771052685
AAPL,F+S+St,42,0.6018759573155219,0.6249207771052685
AAPL,F+S+St+D,42,0.6008450998061491,0.6240127682458807
AAPL,F+S+St+D+Obs,42,0.6006249229607699,0.6239007163167489
AAPL,Complete,42,0.6000450661666865,0.6233209277899795
AAPL,F,123,0.5999223799210973,0.6261177402818885
AAPL,F+S,123,0.599907548563157,0.6260890523371628
AAPL,F+S+St,123,0.599907548563157,0.6260890523371628
AAPL,F+S+St+D,123,0.5991003490355077,0.6252586945775939
AAPL,F+S+St+D+Obs,123,0.5994115509514549,0.6253804490509378
AAPL,Complete,123,0.5990270920251158,0.6247655391461896
AAPL,F,2024,0.6005047680825931,0.6251540149800194
AAPL,F+S,2024,0.6005046055848791,0.6251488972698818
AAPL,F+S+St,2024,0.6005046055848791,0.6251488972698818
AAPL,F+S+St+D,2024,0.5997312484907075,0.624214112787689
AAPL,F+S+St+D+Obs,2024,0.5997776267641861,0.6238685505040482
AAPL,Complete,2024,0.5993678513359092,0.6232613266890873
