dataset,horizon,teacher,seed,r_global,teacher_val_mase,naive_val_mase,fit_seconds
Energy,24,VQC,123,0.8163611953447885,3.736957935083751,3.0507074468381634,7.9
Energy,24,QRC,123,1.0,3.042264350222162,3.0507074468381634,0.9
Energy,24,QKRR,123,0.8134329945678275,3.7504102577729683,3.0507074468381634,0.1
Energy,24,QELM,2024,0.750253455696541,4.06623578162111,3.0507074468381634,0.1
Energy,24,VQC,2024,0.8453677538309934,3.608734107745566,3.0507074468381634,11.1
Energy,24,QRC,2024,1.0,3.029517004751055,3.0507074468381634,0.8
Energy,24,QKRR,2024,0.8184718692678727,3.727321074048686,3.0507074468381634,0.1
Energy,24,QELM,7,0.7112607706846868,4.289154656879833,3.0507074468381634,0.1
Energy,24,VQC,7,0.7794942723413599,3.9137009149211335,3.0507074468381634,18.2
Energy,24,QRC,7,0.9402588491831595,3.2445400003290956,3.0507074468381634,0.9
Energy,24,QKRR,7,0.8285996859684646,3.681762735973653,3.0507074468381634,0.1
Energy,24,QELM,99,0.7485147432813175,4.07568117291125,3.0507074468381634,0.1
Energy,24,VQC,99,0.8204440066058561,3.7183615484727808,3.0507074468381634,9.8
Energy,24,QRC,99,0.9568570749281194,3.1882582328895226,3.0507074468381634,0.8
Energy,24,QKRR,99,0.8362360827574651,3.6481413679000085,3.0507074468381634,0.1
ExchangeRate,24,QELM,42,0.05,87.20903978491484,4.343512419885453,0.1
ExchangeRate,24,VQC,42,0.060791023699067345,71.44989762612093,4.343512419885453,3.1
ExchangeRate,24,QRC,42,0.0644644488141777,67.37841554196585,4.343512419885453,0.4
ExchangeRate,24,QKRR,42,0.0776607343399342,55.92932460402915,4.343512419885453,0.1
ExchangeRate,24,QELM,123,0.1668062661984011,26.039264104858233,4.343512419885453,0.1
ExchangeRate,24,VQC,123,0.21408198871847858,20.289013783393266,4.343512419885453,2.5
ExchangeRate,24,QRC,123,0.061939600776913246,70.12496634470416,4.343512419885453,0.4
ExchangeRate,24,QKRR,123,0.06342987808933274,68.47738874364822,4.343512419885453,0.1
ExchangeRate,24,QELM,2024,0.0786516282100556,55.224698060734305,4.343512419885453,0.1
ExchangeRate,24,VQC,2024,0.06162422376392972,70.48384798362078,4.343512419885453,3.6
ExchangeRate,24,QRC,2024,0.05877146916207775,73.90511896013825,4.343512419885453,0.4
ExchangeRate,24,QKRR,2024,0.07256977322663276,59.85291433005891,4.343512419885453,0.1
ExchangeRate,24,QELM,7,0.0751957311727291,57.76275264759571,4.343512419885453,0.1
ExchangeRate,24,VQC,7,0.0748943554436865,57.99519061421612,4.343512419885453,2.8
ExchangeRate,24,QRC,7,0.058709227407047586,73.98347094181057,4.343512419885453,0.4
ExchangeRate,24,QKRR,7,0.05772792698765991,75.24109467526758,4.343512419885453,0.1
ExchangeRate,24,QELM,99,0.05391180560607014,80.56699958489983,4.343512419885453,0.1
ExchangeRate,24,VQC,99,0.05995613778591946,72.44483351136596,4.343512419885453,2.8
ExchangeRate,24,QRC,99,0.057126643440391194,76.03304094730669,4.343512419885453,0.4
ExchangeRate,24,QKRR,99,0.05,90.23219067493847,4.343512419885453,0.1
Jena,24,QELM,42,0.47212254613319193,19.84571875661855,9.369611269217993,0.1
Jena,24,VQC,42,0.5570870626756497,16.818935310068795,9.369611269217993,18.4
Jena,24,QRC,42,0.48146852109379384,19.460485698903497,9.369611269217993,0.8
Jena,24,QKRR,42,0.6152505460277072,15.228936129698358,9.369611269217993,0.1
Jena,24,QELM,123,0.3890404042805806,24.083902767231642,9.369611269217993,0.1
Jena,24,VQC,123,0.4980137153735012,18.81396230662233,9.369611269217993,18.5
Jena,24,QRC,123,0.5234203149722905,17.900740573498783,9.369611269217993,0.8
Jena,24,QKRR,123,0.5638130692871421,16.618293863007597,9.369611269217993,0.1
Jena,24,QELM,2024,0.42825730520666716,21.878462212562685,9.369611269217993,0.1
Jena,24,VQC,2024,0.5490844832859952,17.06406127732033,9.369611269217993,14.1
Jena,24,QRC,2024,0.5338178661366205,17.55207508701108,9.369611269217993,0.9
Jena,24,QKRR,2024,0.5733807751860109,16.340993062033498,9.369611269217993,0.1
Jena,24,QELM,7,0.42603806317534526,21.992427623448577,9.369611269217993,0.1
Jena,24,VQC,7,0.48158118262967436,19.455933095340693,9.369611269217993,12.3
Jena,24,QRC,7,0.4685627881524664,19.99649034478854,9.369611269217993,0.9
Jena,24,QKRR,7,0.5700768631641143,16.435698192018467,9.369611269217993,0.1
Jena,24,QELM,99,0.4645267131026346,20.170231345011647,9.369611269217993,0.1
Jena,24,VQC,99,0.5212940978903637,17.973752833834247,9.369611269217993,11.5
Jena,24,QRC,99,0.48051593264354114,19.499064719189253,9.369611269217993,0.8
Jena,24,QKRR,99,0.6084213607180986,15.399872315724362,9.369611269217993,0.1
AAPL,24,QELM,42,1.0,0.6292788738674217,0.9045901766296092,0.1
AAPL,24,VQC,42,1.0,0.629675206974058,0.9045901766296092,2.1
AAPL,24,QRC,42,1.0,0.6663330960298982,0.9045901766296092,0.4
AAPL,24,QKRR,42,1.0,0.7213291773861468,0.9045901766296092,0.1
AAPL,24,QELM,123,1.0,0.6285801470330411,0.9045901766296092,0.1
