student,teacher,dataset,origin,reference,n_windows,dm_stat,dm_p,boot_lo,boot_hi,ess_ratio
DLinear,QELM-NISQ,ExchangeRate,4,LegacyPersist,607,2.606813885179788,0.009363783852752086,1.9293181430180195e-05,0.00027236624722886066,0.15008946435694281
DLinear,QELM-NISQ,Jena,0,NaiveKD,1600,-7.53108351608087,8.368617350657493e-14,-1.393243814946618,-0.5433335336942704,0.010117152558662315
DLinear,QELM-NISQ,Jena,0,LegacyPersist,1600,-5.917299647462024,3.995825659268358e-09,-0.2746202801191248,-0.08623663778393532,0.015089917702550432
DLinear,QELM-NISQ,Jena,1,NaiveKD,1600,-3.6464089315565795,0.00027444994655072687,-0.4803462924612686,-0.06257084160041997,0.01777208084694037
DLinear,QELM-NISQ,Jena,1,LegacyPersist,1600,-1.0891458595374688,0.2762536871172211,-0.08937824841262773,0.02895516052818854,0.021008257311842922
DLinear,QELM-NISQ,Jena,2,NaiveKD,1600,-7.435953429736941,1.684695428256932e-13,-0.605551787114353,-0.37151409775763755,0.029567854322016418
DLinear,QELM-NISQ,Jena,2,LegacyPersist,1600,-6.508335144246571,1.0141155338744494e-10,-0.23474402784823906,-0.1358920882259263,0.037213068891984204
DLinear,QELM-NISQ,Jena,3,NaiveKD,1600,-4.579770429720899,5.015341604837856e-06,-0.6094699006867595,-0.23215833002235747,0.027579681734724547
DLinear,QELM-NISQ,Jena,3,LegacyPersist,1600,-3.166785062077057,0.0015704372759956593,-0.2180351788343396,-0.05919411408132874,0.03362723427822113
DLinear,QELM-NISQ,Jena,4,NaiveKD,1600,-8.034554847384147,1.8065707688521324e-15,-0.8442553501974326,-0.38627419092296644,0.013399831041179954
DLinear,QELM-NISQ,Jena,4,LegacyPersist,1600,-6.3097241116051235,3.610686429145459e-10,-0.3101626639425522,-0.12617988330870872,0.022016914929764375
DLinear,ClassicalELM,AAPL,0,NaiveKD,486,-0.9318026438790283,0.35190213114183466,-7.29152756463353e-11,2.299561912630811e-11,1.0
DLinear,ClassicalELM,AAPL,0,LegacyPersist,486,,,0.0,0.0,1.0
DLinear,ClassicalELM,AAPL,1,NaiveKD,486,-1.1908068704926857,0.23431188890222876,-8.431727012979641e-11,-1.1497809563154055e-11,1.0
DLinear,ClassicalELM,AAPL,1,LegacyPersist,486,,,0.0,0.0,1.0
DLinear,ClassicalELM,AAPL,2,NaiveKD,486,0.46914103132424123,0.6391796498254219,-2.299561912630811e-11,2.682822231402613e-11,1.0
DLinear,ClassicalELM,AAPL,2,LegacyPersist,486,,,0.0,0.0,1.0
DLinear,ClassicalELM,AAPL,3,NaiveKD,486,,,0.0,0.0,1.0
DLinear,ClassicalELM,AAPL,3,LegacyPersist,486,,,0.0,0.0,1.0
DLinear,ClassicalELM,AAPL,4,NaiveKD,486,,,0.0,0.0,1.0
DLinear,ClassicalELM,AAPL,4,LegacyPersist,486,,,0.0,0.0,1.0
DLinear,ClassicalELM,ETTh1,0,NaiveKD,1393,-0.13753088985836343,0.89063106802186,-0.002022082974755841,0.0012943632959549313,0.086024032316784
DLinear,ClassicalELM,ETTh1,0,LegacyPersist,1393,0.697005853691881,0.4859155135398683,-0.0013420903914837382,0.0028499388707599782,0.2440732223299085
DLinear,ClassicalELM,ETTh1,1,NaiveKD,1393,-0.6944367664719926,0.4875242253523947,-0.0007073556604525723,0.0003669669874392219,0.05549150488549743
DLinear,ClassicalELM,ETTh1,1,LegacyPersist,1393,-0.7457966334957562,0.45591619197590705,-0.0014049933820813145,0.0005719471733538432,1.0
DLinear,ClassicalELM,ETTh1,2,NaiveKD,1393,-1.296244098129175,0.1951062629838736,-0.027296870100202958,0.010953883237853283,0.06728079297046291
DLinear,ClassicalELM,ETTh1,2,LegacyPersist,1393,-1.507864460248324,0.13181613215594035,-0.013775962633425096,0.003769980138869738,0.09383424624400494
DLinear,ClassicalELM,ETTh1,3,NaiveKD,1393,0.9275790863626805,0.3537867520130219,-0.009348453884597999,0.01700301586683071,0.037320125204733684
DLinear,ClassicalELM,ETTh1,3,LegacyPersist,1393,1.5701675468513008,0.11660340345862885,-0.0026430233949307305,0.012581105485333862,0.0657305481425969
DLinear,ClassicalELM,ETTh1,4,NaiveKD,1393,-2.197922176975157,0.02811882686993497,-0.0021253529088324295,8.078100024712431e-05,0.11101732330515382
DLinear,ClassicalELM,ETTh1,4,LegacyPersist,1393,-0.12884869815972966,0.8974959845706882,-0.0007971417915667036,0.00044118716874228675,1.0
DLinear,ClassicalELM,ETTm2,0,NaiveKD,1600,-3.1671243638722517,0.001568617566579014,-0.0748361017596908,0.0019538093737792163,0.10310437265035075
DLinear,ClassicalELM,ETTm2,0,LegacyPersist,1600,-2.979614270637795,0.0029296391928082498,-0.0710977934289258,0.0041020220424979855,0.09806569078637387
DLinear,ClassicalELM,ETTm2,1,NaiveKD,1600,-1.7614105191515974,0.0783600386018375,-0.13116854212130422,-0.0003480518371798613,0.07266046530574292
DLinear,ClassicalELM,ETTm2,1,LegacyPersist,1600,-1.7936524026803946,0.07305755795842757,-0.13371911441581324,-0.0013209792179987461,0.07489729787806738
DLinear,ClassicalELM,ETTm2,2,NaiveKD,1600,-1.7062818301237463,0.08814979917735784,-0.043529115259647366,0.007549514475511385,0.08321845701455853
DLinear,ClassicalELM,ETTm2,2,LegacyPersist,1600,-1.1554006570731143,0.248099011856247,-0.04067898144293577,0.014955497647169972,0.07405601389606076
