dataset,origin,seed,model,gate,action,cal_MASE,persistence_MASE,diverged,MAE,RMSE,MSE,MASE,Bias,WAPE,teacher,student,policy,picked,MASE_NS,regret,rel_regret
ETTh1,0,123,PatchTST_LegacyPersist[QELM],0.5127234355784686,,2.096748970248659,2.4577925311980358,False,1.5647621272311425,2.0430187278438376,4.173925522320653,2.123854011877629,0.3438452815404774,14.24646223539563,QELM,PatchTST,LegacyPersist,,2.0832735528804984,0.040580458997130364,0.01947917926621812
ETTh1,0,123,N-HiTS_NaiveKD[QELM],1.0,,2.254360653929005,2.4577925311980358,False,1.6184372623219505,2.100704681165523,4.412960157470742,2.1967073542590723,0.3816108142225672,14.735150433904156,QELM,N-HiTS,NaiveKD,,2.1322629851671744,0.06444436909189788,0.03022346189949233
ETTh1,0,123,N-HiTS_SoftSR[QELM],0.0,reject,2.081038782658676,2.4577925311980358,False,1.570957488521887,2.0747108351506456,4.304425049491489,2.1322629851671744,0.4418954371150871,14.302868240581484,QELM,N-HiTS,SoftSR,,2.1322629851671744,0.0,0.0
ETTh1,0,123,N-HiTS_HardRejectSR[QELM],0.0,,2.081038782658676,2.4577925311980358,False,1.570957488521887,2.0747108351506456,4.304425049491489,2.1322629851671744,0.4418954371150871,14.302868240581484,QELM,N-HiTS,HardRejectSR,,2.1322629851671744,0.0,0.0
ETTh1,0,123,N-HiTS_LegacyPersist[QELM],0.5127234355784686,,2.164667969595373,2.4577925311980358,False,1.6051812291744367,2.089547846756968,4.366210203886681,2.178714920334468,0.3349912522597357,14.614460156231482,QELM,N-HiTS,LegacyPersist,,2.1322629851671744,0.04645193516729362,0.021785274842001576
ETTh1,0,123,DLinear_NaiveKD[QELM-NISQ],1.0,,2.0957997035202656,2.4577925311980358,False,1.6101967191034368,2.1226397643159327,4.505599569055198,2.1855224524327093,0.7285148237675222,14.660123958174305,QELM-NISQ,DLinear,NaiveKD,,2.0623638018598087,0.12315865057290054,0.059717228581028195
ETTh1,0,123,DLinear_SoftSR[QELM-NISQ],0.0,reject,2.0093059248375047,2.4577925311980358,False,1.519458847771595,2.0274985535565357,4.1107503846738425,2.0623638018598087,0.3527513241819229,13.833996053649477,QELM-NISQ,DLinear,SoftSR,,2.0623638018598087,0.0,0.0
ETTh1,0,123,DLinear_HardRejectSR[QELM-NISQ],0.0,,2.0093059248375047,2.4577925311980358,False,1.519458847771595,2.0274985535565357,4.1107503846738425,2.0623638018598087,0.3527513241819229,13.833996053649477,QELM-NISQ,DLinear,HardRejectSR,,2.0623638018598087,0.0,0.0
ETTh1,0,123,DLinear_LegacyPersist[QELM-NISQ],0.5041994512946858,,2.041196478212062,2.4577925311980358,False,1.546497907071457,2.053779982046794,4.21801221465613,2.0990639581148858,0.5297725021511095,14.0801746455852,QELM-NISQ,DLinear,LegacyPersist,,2.0623638018598087,0.036700156255077054,0.017795190267585866
ETTh1,0,123,PatchTST_NaiveKD[QELM-NISQ],1.0,,2.204640368195846,2.4577925311980358,False,1.6094874842767657,2.0841988321846623,4.34388477207991,2.1845598069252707,0.3440969946510513,14.653666690965208,QELM-NISQ,PatchTST,NaiveKD,,2.0832735528804984,0.10128625404477232,0.048618797039268295
