dataset,origin,seed,model,teacher,student,policy,picked,MASE,MAE,RMSE,cal_MASE,persistence_MASE,diverged
AAPL,0,2024,DLinear_Oracle[QELM],QELM,DLinear,Oracle,DLinear_NaiveKD[QELM],1.2471288783184322,0.0357881491368905,0.0597192106067249,0.9059702512369672,1.7727738299313769,False
AAPL,0,2024,PatchTST_ValSelect[QELM],QELM,PatchTST,ValSelect,PatchTST_NaiveKD[QELM],1.2376123887293176,0.0355150598398692,0.0594895718477602,0.9001350433248517,1.7727738299313769,False
AAPL,0,2024,PatchTST_HardRejectPersist[QELM],QELM,PatchTST,HardRejectPersist,PatchTST_NaiveKD[QELM],1.2376123887293176,0.0355150598398692,0.0594895718477602,0.9001350433248517,1.7727738299313769,False
AAPL,0,2024,PatchTST_Oracle[QELM],QELM,PatchTST,Oracle,PatchTST_NaiveKD[QELM],1.2376123887293176,0.0355150598398692,0.0594895718477602,0.9001350433248517,1.7727738299313769,False
AAPL,0,2024,N-HiTS_ValSelect[QELM],QELM,N-HiTS,ValSelect,N-HiTS_NaiveKD[QELM],1.2348390607305142,0.0354354752213489,0.0595480085516489,0.8980912544552169,1.7727738299313769,False
AAPL,0,2024,N-HiTS_HardRejectPersist[QELM],QELM,N-HiTS,HardRejectPersist,N-HiTS_NaiveKD[QELM],1.2348390607305142,0.0354354752213489,0.0595480085516489,0.8980912544552169,1.7727738299313769,False
AAPL,0,2024,N-HiTS_Oracle[QELM],QELM,N-HiTS,Oracle,N-HiTS_NaiveKD[QELM],1.2348390607305142,0.0354354752213489,0.0595480085516489,0.8980912544552169,1.7727738299313769,False
AAPL,0,2024,DLinear_ValSelect[QELM-NISQ],QELM-NISQ,DLinear,ValSelect,DLinear_NaiveKD[QELM-NISQ],1.2471683957174795,0.0357892831452478,0.0597183239521286,0.9059627706153776,1.7727738299313769,False
AAPL,0,2024,DLinear_HardRejectPersist[QELM-NISQ],QELM-NISQ,DLinear,HardRejectPersist,DLinear_NaiveKD[QELM-NISQ],1.2471683957174795,0.0357892831452478,0.0597183239521286,0.9059627706153776,1.7727738299313769,False
AAPL,0,2024,DLinear_Oracle[QELM-NISQ],QELM-NISQ,DLinear,Oracle,DLinear_NaiveKD[QELM-NISQ],1.2471683957174795,0.0357892831452478,0.0597183239521286,0.9059627706153776,1.7727738299313769,False
AAPL,0,2024,PatchTST_ValSelect[QELM-NISQ],QELM-NISQ,PatchTST,ValSelect,PatchTST_NaiveKD[QELM-NISQ],1.2375949015068997,0.0355145580189791,0.0594894990546822,0.9001222277642054,1.7727738299313769,False
AAPL,0,2024,PatchTST_HardRejectPersist[QELM-NISQ],QELM-NISQ,PatchTST,HardRejectPersist,PatchTST_NaiveKD[QELM-NISQ],1.2375949015068997,0.0355145580189791,0.0594894990546822,0.9001222277642054,1.7727738299313769,False
AAPL,0,2024,PatchTST_Oracle[QELM-NISQ],QELM-NISQ,PatchTST,Oracle,PatchTST_NaiveKD[QELM-NISQ],1.2375949015068997,0.0355145580189791,0.0594894990546822,0.9001222277642054,1.7727738299313769,False
AAPL,0,2024,N-HiTS_ValSelect[QELM-NISQ],QELM-NISQ,N-HiTS,ValSelect,N-HiTS_NaiveKD[QELM-NISQ],1.2348473279204657,0.0354357124602037,0.059548173151103,0.8981010966416897,1.7727738299313769,False
AAPL,0,2024,N-HiTS_HardRejectPersist[QELM-NISQ],QELM-NISQ,N-HiTS,HardRejectPersist,N-HiTS_NaiveKD[QELM-NISQ],1.2348473279204657,0.0354357124602037,0.059548173151103,0.8981010966416897,1.7727738299313769,False
AAPL,0,2024,N-HiTS_Oracle[QELM-NISQ],QELM-NISQ,N-HiTS,Oracle,N-HiTS_NaiveKD[QELM-NISQ],1.2348473279204657,0.0354357124602037,0.059548173151103,0.8981010966416897,1.7727738299313769,False
AAPL,0,2024,DLinear_ValSelect[ClassicalELM],ClassicalELM,DLinear,ValSelect,DLinear_NaiveKD[ClassicalELM],1.2494391769086608,0.0358544464634421,0.0597692361226262,0.908381462962112,1.7727738299313769,False
AAPL,0,2024,DLinear_HardRejectPersist[ClassicalELM],ClassicalELM,DLinear,HardRejectPersist,DLinear_NaiveKD[ClassicalELM],1.2494391769086608,0.0358544464634421,0.0597692361226262,0.908381462962112,1.7727738299313769,False
AAPL,0,2024,DLinear_Oracle[ClassicalELM],ClassicalELM,DLinear,Oracle,DLinear_NaiveKD[ClassicalELM],1.2494391769086608,0.0358544464634421,0.0597692361226262,0.908381462962112,1.7727738299313769,False
AAPL,0,2024,PatchTST_ValSelect[ClassicalELM],ClassicalELM,PatchTST,ValSelect,PatchTST_NaiveKD[ClassicalELM],1.2381021318991916,0.0355291137214744,0.0594985650478808,0.9006396768866582,1.7727738299313769,False
AAPL,0,2024,PatchTST_HardRejectPersist[ClassicalELM],ClassicalELM,PatchTST,HardRejectPersist,PatchTST_NaiveKD[ClassicalELM],1.2381021318991916,0.0355291137214744,0.0594985650478808,0.9006396768866582,1.7727738299313769,False
AAPL,0,2024,PatchTST_Oracle[ClassicalELM],ClassicalELM,PatchTST,Oracle,PatchTST_NaiveKD[ClassicalELM],1.2381021318991916,0.0355291137214744,0.0594985650478808,0.9006396768866582,1.7727738299313769,False
AAPL,0,2024,N-HiTS_ValSelect[ClassicalELM],ClassicalELM,N-HiTS,ValSelect,N-HiTS_NaiveKD[ClassicalELM],1.2348500903303776,0.0354357917315121,0.0595508988917849,0.8979872779587585,1.7727738299313769,False
AAPL,0,2024,N-HiTS_HardRejectPersist[ClassicalELM],ClassicalELM,N-HiTS,HardRejectPersist,N-HiTS_NaiveKD[ClassicalELM],1.2348500903303776,0.0354357917315121,0.0595508988917849,0.8979872779587585,1.7727738299313769,False
AAPL,0,2024,N-HiTS_Oracle[ClassicalELM],ClassicalELM,N-HiTS,Oracle,N-HiTS_NaiveKD[ClassicalELM],1.2348500903303776,0.0354357917315121,0.0595508988917849,0.8979872779587585,1.7727738299313769,False
AAPL,1,42,DLinear_ValSelect[QELM],QELM,DLinear,ValSelect,DLinear_NaiveKD[QELM],0.9217660421620524,0.0271386763431879,0.0363377303726693,1.18451189094872,1.3080004344449487,False
AAPL,1,42,DLinear_HardRejectPersist[QELM],QELM,DLinear,HardRejectPersist,DLinear_NaiveKD[QELM],0.9217660421620524,0.0271386763431879,0.0363377303726693,1.18451189094872,1.3080004344449487,False
AAPL,1,42,DLinear_Oracle[QELM],QELM,DLinear,Oracle,DLinear_NaiveKD[QELM],0.9217660421620524,0.0271386763431879,0.0363377303726693,1.18451189094872,1.3080004344449487,False
AAPL,1,42,PatchTST_ValSelect[QELM],QELM,PatchTST,ValSelect,PatchTST_NaiveKD[QELM],0.9113150125469928,0.0268309766697318,0.0357364031385442,1.1762623786537736,1.3080004344449487,False
AAPL,1,42,PatchTST_HardRejectPersist[QELM],QELM,PatchTST,HardRejectPersist,PatchTST_NaiveKD[QELM],0.9113150125469928,0.0268309766697318,0.0357364031385442,1.1762623786537736,1.3080004344449487,False
AAPL,1,42,PatchTST_Oracle[QELM],QELM,PatchTST,Oracle,PatchTST_NaiveKD[QELM],0.9113150125469928,0.0268309766697318,0.0357364031385442,1.1762623786537736,1.3080004344449487,False
