dataset,origin,student,teacher,policy,MASE,MASE_NS,regret,rel_regret
AAPL,2,DLinear,ClassicalELM,Oracle,0.5619035682120614,0.5649321052399854,-0.0030285370279239388,-0.005360887585097435
AAPL,2,DLinear,ClassicalELM,SoftSR,0.561903568222739,0.5649321052399854,-0.0030285370172464057,-0.005360887566269162
AAPL,2,DLinear,ClassicalELM,ValSelect,0.5619035682120614,0.5649321052399854,-0.0030285370279239388,-0.005360887585097435
AAPL,2,DLinear,QELM,HardRejectPersist,0.5605213415795496,0.5649321052399854,-0.004410763660435764,-0.007807560726218611
AAPL,2,DLinear,QELM,HardRejectSR,0.5605213415667287,0.5649321052399854,-0.004410763673256657,-0.007807560748895469
AAPL,2,DLinear,QELM,LegacyPersist,0.5605213415667287,0.5649321052399854,-0.004410763673256657,-0.007807560748895469
AAPL,2,DLinear,QELM,NaiveKD,0.5605213415795496,0.5649321052399854,-0.004410763660435764,-0.007807560726218611
AAPL,2,DLinear,QELM,Oracle,0.5605213415795496,0.5649321052399854,-0.004410763660435764,-0.007807560726218611
AAPL,2,DLinear,QELM,SoftSR,0.5605213415667287,0.5649321052399854,-0.004410763673256657,-0.007807560748895469
AAPL,2,DLinear,QELM,ValSelect,0.5605213415795496,0.5649321052399854,-0.004410763660435764,-0.007807560726218611
AAPL,2,DLinear,QELM-NISQ,HardRejectPersist,0.5605023017207517,0.5649321052399854,-0.004429803519233759,-0.007841264734339813
AAPL,2,DLinear,QELM-NISQ,HardRejectSR,0.5605153175085055,0.5649321052399854,-0.00441678773147991,-0.007818222003945519
AAPL,2,DLinear,QELM-NISQ,LegacyPersist,0.5605152174971079,0.5649321052399854,-0.004416887742877555,-0.007818398476758274
AAPL,2,DLinear,QELM-NISQ,NaiveKD,0.5605023017207517,0.5649321052399854,-0.004429803519233759,-0.007841264734339813
AAPL,2,DLinear,QELM-NISQ,Oracle,0.5605023017207517,0.5649321052399854,-0.004429803519233759,-0.007841264734339813
AAPL,2,DLinear,QELM-NISQ,SoftSR,0.5605130182646055,0.5649321052399854,-0.004419086975379923,-0.00782229373301359
AAPL,2,DLinear,QELM-NISQ,ValSelect,0.5605023017207517,0.5649321052399854,-0.004429803519233759,-0.007841264734339813
AAPL,2,N-HiTS,ClassicalELM,HardRejectPersist,0.553880321245145,0.5541208924567737,-0.00024057121162871878,-0.000433639955209404
AAPL,2,N-HiTS,ClassicalELM,HardRejectSR,0.5541208924567737,0.5541208924567737,0.0,0.0
AAPL,2,N-HiTS,ClassicalELM,LegacyPersist,0.5542719301736548,0.5541208924567737,0.00015103771688103804,0.0002755774138993571
AAPL,2,N-HiTS,ClassicalELM,NaiveKD,0.553880321245145,0.5541208924567737,-0.00024057121162871878,-0.000433639955209404
AAPL,2,N-HiTS,ClassicalELM,Oracle,0.553880321245145,0.5541208924567737,-0.00024057121162871878,-0.000433639955209404
