family,teacher,dataset,comparison,n_windows,p_value,cliffs_delta,effect,mean_diff,median_diff,p_holm,significant
F3_competitiveness,QRC,ETTh1,Ada[QRC] vs DLinear,2613,6.065661466586738e-27,0.067856,negligible,0.14178605377674103,0.08838558197021484,1.8196984399760216e-26,True
F3_competitiveness,QRC,ETTm2,Ada[QRC] vs DLinear,3000,0.0,0.7425404444444444,large,3.0564420223236084,2.4666028022766113,0.0,True
F3_competitiveness,QRC,Energy,Ada[QRC] vs DLinear,3000,1.4069085923218927e-209,0.3688311111111111,medium,904.8457641601562,721.6263427734375,1.1255268738575142e-208,True
F3_competitiveness,QRC,ExchangeRate,Ada[QRC] vs DLinear,1139,5.9876791705291e-125,0.6983260118351587,large,0.021577954292297363,0.009667549282312393,3.59260750231746e-124,True
F3_competitiveness,QRC,Jena,Ada[QRC] vs DLinear,3000,3.320431283423354e-225,0.41843733333333333,medium,1.113296389579773,0.758653461933136,3.320431283423354e-224,True
F3_competitiveness,QRC,AAPL,Ada[QRC] vs DLinear,912,4.309816520381892e-05,-0.008709410587873192,negligible,-4.1892064473358914e-05,0.00014828983694314957,8.619633040763784e-05,True
F3_competitiveness,QRC,ETTh1,Ada[QRC] vs Persistence,2613,0.008500194550072442,-0.04113688888888889,negligible,0.0030826986767351627,-0.06236296892166138,0.008500194550072442,True
F3_competitiveness,QRC,ETTm2,Ada[QRC] vs Persistence,3000,5.3563760643694425e-217,0.3995137777777778,medium,1.7416260242462158,1.2787258625030518,4.8207384579324985e-216,True
F3_competitiveness,QRC,Energy,Ada[QRC] vs Persistence,3000,0.0,-0.6150755555555556,large,-2509.089111328125,-2338.36328125,0.0,True
F3_competitiveness,QRC,ExchangeRate,Ada[QRC] vs Persistence,1139,1.3393375507107674e-129,0.7095229322580918,large,0.02179007977247238,0.009503543376922607,9.375362854975371e-129,True
F3_competitiveness,QRC,Jena,Ada[QRC] vs Persistence,3000,8.082544733496985e-110,0.344288,medium,0.8940163850784302,0.5368794202804565,4.0412723667484926e-109,True
F3_competitiveness,QRC,AAPL,Ada[QRC] vs Persistence,912,9.521253747472693e-92,-0.3901176323484149,medium,-0.008193841204047203,-0.0030570458620786667,3.808501498989077e-91,True
