dataset,origin,seed,model,gate,action,cal_MASE,persistence_MASE,diverged,MAE,RMSE,MSE,MASE,Bias,WAPE,teacher,student,policy
AAPL,2,123,PatchTST_SoftSR[QELM-NISQ],1.0,accept,0.9283514910314937,0.8078475787874746,False,0.017817755003140402,0.024182782402493476,0.0005848069647263482,0.55995084901453,-0.002816856565062868,101.46588450279725,QELM-NISQ,PatchTST,SoftSR
AAPL,2,123,PatchTST_HardRejectSR[QELM-NISQ],1.0,,0.9283232592034052,0.8078475787874746,False,0.017817101209513644,0.02418191994875337,0.0005847652524079162,0.5599303025261357,-0.002814771359650324,101.46216137670143,QELM-NISQ,PatchTST,HardRejectSR
AAPL,2,123,PatchTST_LegacyPersist[QELM-NISQ],1.0,,0.9283478151439664,0.8078475787874746,False,0.017816234365996955,0.0241809399582428,0.0005847178572641434,0.5599030606113689,-0.002806777514453845,101.45722500597847,QELM-NISQ,PatchTST,LegacyPersist
AAPL,2,123,N-HiTS_NaiveKD[QELM-NISQ],1.0,,0.9252722573805346,0.8078475787874746,False,0.017631375035727242,0.024023682978021935,0.0005771373438285009,0.5540935667152781,-0.0024882004222353416,100.40451575887606,QELM-NISQ,N-HiTS,NaiveKD
AAPL,2,123,N-HiTS_SoftSR[QELM-NISQ],1.0,accept,0.9252989230574054,0.8078475787874746,False,0.01763119939827989,0.024023455225874648,0.0005771264009896039,0.5540880470334918,-0.0024877621327762042,100.4035155650276,QELM-NISQ,N-HiTS,SoftSR
AAPL,2,123,N-HiTS_HardRejectSR[QELM-NISQ],1.0,,0.9252992168970628,0.8078475787874746,False,0.01763081852943065,0.024023231703433342,0.0005771156614768448,0.5540760776335615,-0.0024877503097268444,100.40134665010758,QELM-NISQ,N-HiTS,HardRejectSR
AAPL,2,123,N-HiTS_LegacyPersist[QELM-NISQ],1.0,,0.9252866819572277,0.8078475787874746,False,0.017631095274263077,0.024023321741824998,0.0005771199875112417,0.5540847747732319,-0.0024892015876185,100.40292261516035,QELM-NISQ,N-HiTS,LegacyPersist
AAPL,2,123,DLinear_NaiveKD[ClassicalELM],1.0,,0.9513736115053307,0.8078475787874746,False,0.017876399028800147,0.02416868088327481,0.0005841251356375731,0.5617938293424116,-0.0027555378883303734,101.79984172318343,ClassicalELM,DLinear,NaiveKD
AAPL,2,123,DLinear_SoftSR[ClassicalELM],1.0,accept,0.9513736113081536,0.8078475787874746,False,0.017876399022210367,0.024168680877090756,0.0005841251353386524,0.5617938291353175,-0.00275553789332199,101.79984168565694,ClassicalELM,DLinear,SoftSR
AAPL,2,123,DLinear_HardRejectSR[ClassicalELM],1.0,,0.9513736113081536,0.8078475787874746,False,0.017876399022210367,0.024168680877090756,0.0005841251353386524,0.5617938291353175,-0.00275553789332199,101.79984168565694,ClassicalELM,DLinear,HardRejectSR
AAPL,2,123,DLinear_LegacyPersist[ClassicalELM],1.0,,0.9513736113081536,0.8078475787874746,False,0.017876399022210367,0.024168680877090756,0.0005841251353386524,0.5617938291353175,-0.00275553789332199,101.79984168565694,ClassicalELM,DLinear,LegacyPersist
AAPL,2,123,PatchTST_NaiveKD[ClassicalELM],1.0,,0.9290765351763328,0.8078475787874746,False,0.017836176073049423,0.024197506684981985,0.0005855193297697479,0.5605297599790984,-0.0028718486529484195,101.57078605473112,ClassicalELM,PatchTST,NaiveKD
AAPL,2,123,PatchTST_SoftSR[ClassicalELM],1.0,accept,0.9290765352568457,0.8078475787874746,False,0.017836176036137536,0.024197506653161432,0.0005855193282297917,0.5605297588190845,-0.0028718484682268017,101.57078584453083,ClassicalELM,PatchTST,SoftSR
AAPL,2,123,PatchTST_HardRejectSR[ClassicalELM],0.0,,0.9310865682307004,0.8078475787874746,False,0.01792422152620979,0.02428982149296789,0.0005899954281602447,0.5632967262012923,-0.003123864676167233,102.07217412409182,ClassicalELM,PatchTST,HardRejectSR
AAPL,2,123,PatchTST_LegacyPersist[ClassicalELM],1.0,,0.9292798163646776,0.8078475787874746,False,0.017914421000413513,0.024331943426280627,0.000592043470899721,0.562988729333031,-0.0032483956171822726,102.01636355657998,ClassicalELM,PatchTST,LegacyPersist
AAPL,2,123,N-HiTS_NaiveKD[ClassicalELM],1.0,,0.9256256906831429,0.8078475787874746,False,0.017635329840676627,0.024026839285997567,0.000577289006075156,0.5542178526530241,-0.002506337252827946,100.4270369902071,ClassicalELM,N-HiTS,NaiveKD
AAPL,2,123,N-HiTS_SoftSR[ClassicalELM],1.0,accept,0.925625690693736,0.8078475787874746,False,0.0176353298426996,0.02402683928876031,0.000577289006207916,0.5542178527165993,-0.0025063372580297815,100.4270370017272,ClassicalELM,N-HiTS,SoftSR
AAPL,2,123,N-HiTS_HardRejectSR[ClassicalELM],0.0,,0.926427480394063,0.8078475787874746,False,0.01764095945002678,0.02403505882983945,0.0005776840529538433,0.5543947719413792,-0.002503475411487573,100.4590956469805,ClassicalELM,N-HiTS,HardRejectSR
AAPL,2,123,N-HiTS_LegacyPersist[ClassicalELM],1.0,,0.925858110679873,0.8078475787874746,False,0.0176275697509826,0.024040096020924,0.0005779262166952458,0.5539739796840765,-0.0028257139432446413,100.38284599282912,ClassicalELM,N-HiTS,LegacyPersist
AAPL,2,2024,DLinear_NS,,,0.9627817883416402,0.8078475787874746,False,0.01798280053432525,0.024267615095536953,0.000588917142425133,0.5651376632510441,-0.002783531433139748,102.40576109229762,,,
AAPL,2,2024,PatchTST_NS,,,0.9297605952735246,0.8078475787874746,False,0.017919294766484753,0.024325688226127302,0.0005917391076747484,0.5631418950628891,-0.003375574549112139,102.04411795017172,,,
AAPL,2,2024,N-HiTS_NS,,,0.9220142383603291,0.8078475787874746,False,0.01767104163272537,0.024075563678305996,0.000579632766428167,0.5553401516336758,-0.003123399914634675,100.63040315877136,,,
AAPL,2,2024,DLinear_NaiveKD[QELM],1.0,,0.9484241218220478,0.8078475787874746,False,0.01784021477589145,0.02414332271574877,0.0005829000317567906,0.5606566825394833,-0.0027479566740382932,101.5937850552246,QELM,DLinear,NaiveKD
AAPL,2,2024,DLinear_SoftSR[QELM],1.0,accept,0.9484241214980681,0.8078475787874746,False,0.017840214775273266,0.0241433227195447,0.0005829000319400833,0.560656682520056,-0.0027479566961974016,101.59378505170426,QELM,DLinear,SoftSR
AAPL,2,2024,DLinear_HardRejectSR[QELM],1.0,,0.9484241214980681,0.8078475787874746,False,0.017840214775273266,0.0241433227195447,0.0005829000319400833,0.560656682520056,-0.0027479566961974016,101.59378505170426,QELM,DLinear,HardRejectSR
